DEPTO_HECHO;MUNICIPIO_HECHO;FECHA_HECHO;;DESCRIPCION_CONDUCTA;MODALIDAD;CLASE_SITIO;ZONA;GENERO;PAIS_PERSONA;CARGO_PERSONA;;;Etapa;;;
ANTIOQUIA;MEDELLÍN (CT);7/08/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;APARTAMENTO EN CONJUNTO CERRADO;URBANA;MASCULINO;ESTADOS UNIDOS;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);02/14/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;ESTACION TRANSMILENIO AV JIMENEZ(CRC);URBANA;MASCULINO;ESTADOS UNIDOS;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);1/06/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;URBANA;MASCULINO;ESTADOS UNIDOS;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);01/17/2020 12:00:00 AM;;ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR;RIÑAS;CASAS DE HABITACION;URBANA;FEMENINO;NORUEGA;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);1/05/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;AUDITORIOS;URBANA;MASCULINO;MEXICO;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);2/06/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;INTERIOR VEHICULO SERVICIO PUBLICO;URBANA;MASCULINO;ALEMANIA;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);2/06/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;HOTELES, RESIDENCIAS, Y SIMILARES.;URBANA;MASCULINO;PORTUGAL;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);02/16/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;PARQUE NACIONAL NATURAL TAYRONA;RURAL;MASCULINO;VENEZUELA;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);02/28/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;RESTAURANTES;URBANA;MASCULINO;ALEMANIA;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);03/17/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;SUPL. DIJIN-SIJIN;VIAS PUBLICAS;URBANA;MASCULINO;PERU;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);3/09/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;URBANA;MASCULINO;COSTA RICA;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);02/29/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;VIAS PUBLICAS;URBANA;MASCULINO;PAISES BAJOS;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);8/06/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;HOTELES, RESIDENCIAS, Y SIMILARES.;URBANA;MASCULINO;VENEZUELA;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);02/13/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;VIAS PUBLICAS;URBANA;FEMENINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);3/12/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;TEATROS;URBANA;MASCULINO;VENEZUELA;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);3/12/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;HOTELES, RESIDENCIAS, Y SIMILARES.;URBANA;MASCULINO;VENEZUELA;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);3/03/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;HOTELES, RESIDENCIAS, Y SIMILARES.;URBANA;MASCULINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);10/25/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;HOTELES, RESIDENCIAS, Y SIMILARES.;URBANA;MASCULINO;ESTADOS UNIDOS;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);10/25/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;URBANA;FEMENINO;ITALIA;TURISTA EXTRANJERO;;;Adultez;;;
ANTIOQUIA;MEDELLÍN (CT);05/26/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;MAR;RURAL;MASCULINO;VENEZUELA;TURISTA EXTRANJERO;;;Adultez;;;
ATLÁNTICO;BARRANQUILLA (CT);02/22/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;URBANA;MASCULINO;JAPON;TURISTA EXTRANJERO;;;Adultez;;;
ATLÁNTICO;BARRANQUILLA (CT);02/22/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;RAPONAZO;VIAS PUBLICAS;URBANA;FEMENINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
ATLÁNTICO;BARRANQUILLA (CT);02/22/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;RAPONAZO;CARRETERA;RURAL;FEMENINO;POLONIA;TURISTA EXTRANJERO;;;Adultez;;;
ATLÁNTICO;BARRANQUILLA (CT);02/22/2020 12:00:00 AM;;ARTÍCULO 246. ESTAFA;ENGAÑO;DENTRO DE LA VIVIENDA;RURAL;FEMENINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
ATLÁNTICO;JUAN DE ACOSTA;05/15/2020 12:00:00 AM;;ARTÍCULO 239. HURTO RESIDENCIAS;ATRACO;CASAS DE HABITACION;URBANA;FEMENINO;ESPAÑA;TURISTA EXTRANJERO;;;Adultez;;;
ATLÁNTICO;SOLEDAD;01/31/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;RESTAURANTES;URBANA;MASCULINO;BRASIL;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);02/27/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;VIAS PUBLICAS;URBANA;FEMENINO;HOLANDA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);02/27/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;VIAS PUBLICAS;URBANA;FEMENINO;VENEZUELA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);02/19/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;HOTELES, RESIDENCIAS, Y SIMILARES.;URBANA;MASCULINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);02/29/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;URBANA;MASCULINO;CANADA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);03/15/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;USO SUSTANCIAS TOXICAS / ESCOPOLAMINADO;VIAS PUBLICAS;URBANA;MASCULINO;ISRAEL;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);02/16/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;HOTELES, RESIDENCIAS, Y SIMILARES.;URBANA;FEMENINO;PAISES BAJOS;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);01/21/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;SUPL. DIJIN-SIJIN;VIAS PUBLICAS;URBANA;FEMENINO;MEXICO;TURISTA EXTRANJERO;;;Adultez;;;
